# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
0.2 10267053.38324459 1658.56029555 -47210826.36313517
0.30000000000000004 20542297.94260928 3122.98781588 -91134566.70528488
0.4 30265919.33811086 6666.28375351 -127687244.65693696
0.5 37610001.91649151 15713.22110844 -150937948.16743451
0.6 40168372.03161889 36579.24936005 -154612822.90100801
0.7 36297266.74232794 67262.62100358 -135025380.01719129
0.7999999999999999 26556796.96965000 94848.82570323 -93977099.54780218
0.8999999999999999 13755234.63141100 105809.26847389 -39413997.95125224
0.9999999999999999 1520961.00679491 101308.45240588 17103515.60163130
1.0999999999999999 -7331857.83663661 110608.28036784 64616641.04563668
1.2 -11714617.61205976 135186.46105705 96076174.40759327
1.3 -12280861.76332478 150862.17418042 109286087.22713490
1.4000000000000001 -10192266.85316657 156681.10024419 105888501.98857094
1.5000000000000002 -6459249.10361609 156791.07332965 89567126.64313202
1.6000000000000003 -1852769.79972535 146104.70259647 64493043.49153684
1.7000000000000004 2951661.94105771 122959.40338205 34479321.45138045
1.8000000000000005 7280324.29225718 95503.44995622 2805291.98549889
1.9000000000000006 10562957.56213237 75429.60691225 -27558733.78380347
2.0000000000000004 12448596.19014157 64172.72446467 -53665877.86934926
2.1000000000000005 12782402.42314068 60036.23393604 -72539575.49027680
2.2000000000000006 11607238.52913656 58859.23842955 -81528740.38084731
2.3000000000000007 9194003.37233640 55433.06424470 -79023406.18128929
2.400000000000001 6056318.19163015 46789.78719905 -65211217.91233364
2.500000000000001 2868653.04816936 36012.42850213 -42428237.72625265
2.600000000000001 285710.83193381 31136.92141204 -14799493.84618560
2.700000000000001 -1295789.01965377 34548.22652007 12765930.02655654
2.800000000000001 -1839137.75219280 46618.87956195 35804080.81304698
2.9000000000000012 -1514982.40314132 68564.98714226 51253105.25715771
3.0000000000000013 -540773.10676980 97677.86521386 57832392.96521394
3.1000000000000014 864194.07856810 127639.13406672 55865467.71905922
3.2000000000000015 2472235.58686967 152238.06988413 46792911.86414486
3.3000000000000016 4052386.06083410 167787.18068342 32648406.91832200
3.4000000000000017 5390784.23157542 173209.25212732 15664725.03284818
3.5000000000000018 6315493.96858491 169165.39108981 -1952744.08035022
3.600000000000002 6719170.67959589 157195.64140805 -18139316.50958193
3.700000000000002 6576289.44621911 138767.00440142 -31059835.98926220
3.800000000000002 5946294.75887433 114743.56340185 -39240887.79410623
3.900000000000002 4964739.76500797 86499.50537352 -41758009.63779869
4.000000000000002 3820580.29810657 56872.16958119 -38431047.87019645
4.100000000000001 2718311.48649443 30507.36015339 -29937808.09471243
